Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
"Activated Sludge, Anaerobic/Anoxic",Plantation STP,12000001004,Advanced,Y,Y,No Change,N,,,01/06/2009,,,Plantation,Broward,Everglades,03090202,20th Congressional District,FL,4,MAP
"Activated Sludge, Anaerobic/Anoxic",SUNRISE STP NO. 3 (Sawgrass),12000001035,Advanced,Y,Y,"Increase Capacity, Rehabilitation",N,,,12/11/2008,,,Sunrise,Broward,Everglades,03090202,23rd Congressional District,FL,4,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",London WWTP,48001124201,Secondary,N,Y,New,N,,,08/29/2001,,,London,Kimble,Llano,12090204,11th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",LUFKIN WWTP,48006021001,Secondary,Y,Y,No Change,N,,,02/26/2009,TX0024309,Individual Permit,LUFKIN,Angelina,Middle Neches,12020002,1st Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Texas City WWTP,48007032001,Secondary,Y,Y,No Change,N,,,03/04/2009,TX0023949,Individual Permit,TEXAS CITY,Galveston,West Galveston Bay,12040204,14th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Carter's Creek WWTP,48003041001,Secondary,Y,Y,No Change,N,,,02/26/2009,TX0047163,Individual Permit,COLLEGE STATION,Brazos,Navasota,12070103,17th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Southwest - Houston,48007039026,Secondary,Y,Y,No Change,N,,,03/05/2009,TX0062995,Individual Permit,HOUSTON,Harris,Buffalo-San Jacinto,12040104,7th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Leon Creek WWTP,48008015003,Secondary,Y,Y,No Change,N,,,02/26/2009,TX0052639,Individual Permit,SAN ANTONIO,Bexar,Medina,12100302,23rd Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",FAIRHAVEN WT,50000029001,Secondary,Y,Y,No Change,N,,,04/03/2001,VT0100129,Individual Permit,"FAIRHAVEN      ,TOWNOF",Rutland,Lake George,02010001,0th Congressional District,VT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",LYNDON STP,50000038001,Secondary,Y,Y,No Change,N,,,09/19/2012,VT0100595,Individual Permit,"LYNDON      ,TOWNOF",Caledonia,Passumpsic,01080102,0th Congressional District,VT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",ORLEANS VILLAGE WPCF,50000049001,Secondary,Y,Y,No Change,N,,,01/27/2009,VT0100251,Individual Permit,"ORLEANS      ,VILLAGEOF",Orleans,St. Francois,01110000,0th Congressional District,VT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",BARTLETT BAY STP,50000070002,Secondary,Y,Y,Improve Energy Efficiency,N,2013,,06/28/2012,VT0100358,Individual Permit,"S BURLINGTON, CITY OF",Chittenden,Winooski,02010003,0th Congressional District,VT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",GREENWICH WPCF,09000570001,Secondary,Y,Y,Process Improvement,N,,,02/03/2009,CT0100234,Individual Permit,GREENWICH CHIEF EXECUTIVE,Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",STAMFORD WPCF,09001350001,Secondary,Y,Y,No Change,N,,,01/22/2009,CT0101087,Individual Permit,"STAMFORD, CITY OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Mass. Water Resources Authority,25000128001,Secondary,Y,Y,"Rehabilitation, Process Improvement",N,,,07/24/2008,MA0103284,Individual Permit,Mass. Water Resources Authority,Suffolk,Charles,01090001,7th Congressional District,MA,1,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Mt Holly MUA - Maple Avenue WWTP,34007071002,Secondary,N,Y,New,N,,,10/03/2008,,,Mount Holly MUA,Burlington,Lower Delaware,02040202,3rd Congressional District,NJ,2,MAP
"Activated Sludge, Anaerobic/Anoxic/Oxic",Greenport (V) STP,36001016001,Secondary,N,Y,New,N,,,03/29/2001,NY0020079,Individual Permit,Village of Greenport,Suffolk,Southern Long Island,02030202,1st Congressional District,NY,2,MAP
