WDID,Facility_Name,NPDES_No,CWNS_ID,CWNS_Facility_Name
9 000000117,SOCWA - Coastal TP,CA0107611,06009006001,South Orange County Wastewater Authority (Coastal Treatment Plant)
9 000000117,SOCWA - Regional TP,CA0107611,,
9 000000117,SOCWA Aliso Creek Ocean Outfall,CA0107611,,
9 000000175,City of San Clemente WRP,CA0107417,06009038001,"San Clemente, City of (Water Reclamation Plant)"
9 000000175,J.B. Latham Wastewater Treatment Plant,CA0107417,06009019001,South Orange County Wastewater Authority  (Latham WWTP)
9 000000175,SMWD - Chiquita WRP,CA0107417,06009074002,Santa Margarita Water District (Chiquita WRP)
9 000000175,SMWD Oso Creek WRP,CA0107417,06009074001,Santa Margarita Water District (Oso Creek WRP)
9 000000175,SOCWA - 3A Treatment Plant,CA0107417,06009075001,MNWD WWTP 3A
9 000000175,SOCWA San Juan Creek Ocean Outfall,CA0107417,,
9 000000900,South Bay WRP,CA0109045,06009031004,South Bay WRP
9000003903,Arcata City WWTF,CA0022713,06001047001,Arcata WWTF
7A130100011,Brawley City WWTP,CA0104523,06007022001,Brawley WWTP
7A131337001,CA Dept of Corrections Centinela WWTP,CA7000001,,
3 400108001,California Men's Colony WWTP,CA0047856,,
5B05NP00001,Copper Cove WWRF,CA0084620,,
7A130101011,Calexico City WWTP,CA7000009,06007005001,CALEXICO WWTF
3 401019759,Cayucos SD WWTP,CA3000001,,
5A320100001,Chester STP,CA0077747,06005279001,CHESTER WWTF
9 000004038,East County Advanced Water Purification (AWP) Project,CA9000001,,
7A130103011,El Centro City WWTP,CA0104426,06007002001,EL CENTRO WWTF
2 482005001,Fairfield-Suisun Sewer District Subregional WWTP,CA0038024,06002038001,Fairfield-Suisun Sewer District
7A130106011,Imperial City WWTP,CA0104400,06007014001,IMPERIAL WWTF
4B190107019,Pomona Water Reclamation Plant,CA0053619,06004009002,LACSD (Pomona WRP)
5C240108001,Merced WWTF,CA0079219,06005064001,Merced WWTP
2 417019001,Millbrae WPCP,CA0037532,06002039001,MILLBRAE MADRONE WWTF
7A130109011,Niland SD WWTP,CA0104451,06004022002,NYELAND ACRES WWTF
2 215022001,Novato and Ignacio WWTP,CA0037958,06002071001,Novato WWTF
9 000000146,Oceanside Ocean Outfall,CA0107433,06009041001,"Oceanside, City of (La Salina WWTF)"
9 000000146,Oceanside Ocean Outfall,CA0107433,06009041002,"Oceanside, City of (San Luis Rey WWTF)"
2 494006001,Petaluma Ellis Creek Water Recycling Facility (NPDES Permit),CA0037810,06002118001,Ellis Creek WRF
9 000003607,City of San Diego North City Pure Water Facility,CA0109398,06009031002,North City WRP
9 000003607,City of San Diego North City Pure Water Facility,CA0109398,06000000102,North City Pure Water Facility
2 01NPI441309,"San Leandro, City of",CA0038881,06002042001,"San Leandro, City of (WPCP)"
2 494009001,Sonoma Valley County SD WWTP,CA0037800,06002069001,Sonoma Valley WWTF
2 417038001,South San Francisco-San Bruno WQCP,CA0038130,06002046001,SO SF-SAN BRUNO WWTF
2 283014001,St. Helena City WWTP,CA0038016,06002074001,ST. HELENA WWTF
2 071059001,USS-UPI LLC - NPDES/SUB15,CA0005002,,
9 000000732,South Bay International WWTP,CA0108928,06009031004,South Bay WRP
4B190137004,Juanita Millender-McDonald Carson Regional Water Recycling Plant,CA0064246,,
5A570105001,Woodland Water Pollution Control Facility,CA0077950,06005004001,WOODLAND WWTF
2 283019001,Yountville / CA Vets Home WWTP,CA0038121,06002127001,YOUNTVILLE-VETERANS WWTF
3 440104001,Watsonville WWTP,CA0048216,06003044001,Watsonville WWTF
8 362375001,"Colton/San Bernadino STP, RIX",,,
3 430100001,SCRWA WWTP,CA0049964,06003060001,South County Regional Wastewater Treatment and Reclamation Facility
9000003903,Atwater Regional WWTF,,06005106001,Atwater Regional Wastewater Treatment Facility
2 417005001,Burlingame WWTP,CA0037788,06002011001,Burlingame WWTP
5C220701004,Deuel Vocational Institution,CAG995002,,
9000003903,Camarillo WRP,CA0053597,06004029001,CAMARILLO Water Reclamation Plant
9000003903,Carmel Area WWTP,CA0047996,06003017001,Carmel Area Wastewater Treatment Plant
9000003903,Carpinteria SD WWTP,CA0047364,06003061001,Carpinteria WWTF
9000003903,Paso Robles WWTP,,06003027001,PASO ROBLES WWTP
9000003903,Cloverdale City WWTP,CA0022977,06001035001,CLOVERDALE WWTF
9000003903,Coachella SD WWTP,CA0104493,06007025001,Coachella WWTP
5A310101001,City of Colfax WWTP,CAG585001,06005233001,Colfax WWTF
9000003903,Corona WWRF #3,CA8000395,06008020003,Corona WWTP #3
9000003903,Corona WWRF #1,CA8000383,06008020001,Corona WWTF #1
9000003903,Delta Diablo WWTP,CA0038547,06002023001,Delta Diablo Wastewater Treatment Plant
9000003903,Donner Summit PUD WWTP,CA0081621,06005045001,DONNER SUMMIT WWTF
9000003903,El Dorado Hills WWTP,,06005249003,El Dorado Hills WWTP
9000003903,EVMWD Regional WWRF,CA8000027,06008041002,Lake Elsinore Regional WWTP
9000003903,Vallecitos WD Meadowlark WRP,CA0107395,06009040001,Meadowlark Water Reclam. Facility
9000003903,Encina Water Pollution Control Facility,,06009011001,Encina Water Pollution Control Facility
9000003903,Membrane Filtration/Reverse Osmosis Facility - Escondido,,,
9000003903,Fallbrook Water Reclamation Plant,CA0108031,06009004001,FALLBROOK WWTF #1
9000003903,Fort Bragg City WWTP,CA0023078,06001028001,Fort Bragg WWTP
9000003903,Fortuna City WWTP,CA0022730,06001011001,FORTUNA WWTF
9000003903,Goleta SD WWTP,CA0048160,06003021001,Goleta Sanitary District Water Resource Recovery Facility
9000003903,Hayward WPCF,CA0037869,06002029001,"Hayward, City of (WPCF)"
9000003903,Michelson WWRF,CA8000326,06008033001,Michelson WRP
5B030103001,City of Jackson WWTP,CAC455508,06005099001,JACKSON WWTF
9000003903,Tapia WRF,CA0056014,06004026001,Tapia Water Reclamation Facility
9000003903,White Slough Water Pollution Control Facility,,,
5C221012001,Mariposa WWTP,CAC441902,06005161001,MARIPOSA WWTF
9000003903,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),,06009041002,"Oceanside, City of (San Luis Rey WWTF)"
9000003903,"La Salina WWTP, Oceanside Ocean Outfall",CA0107433,06009041002,"Oceanside, City of (San Luis Rey WWTF)"
9000003903,Groundwater Replenishment System - Advanced WTF,,,
9000003903,Pismo Beach WWTP,CA0048151,06003028001,"Pismo Beach, City of (Collection & WWTF)"
9000003903,Rialto WWRF,CA0105295,06008052001,Rialto WWTP
9000003903,Richmond WPCP,CA0038539,06002030001,Richmond Municipal Sewer District Water Pollution Control Plant
9000003903,Riverside City WWRF,CA0105350,06008001001,"Riverside, City of (Regional Water Quality Control Plant)"
9000003903,Margaret H Chandler WWRF,CA0105392,06008004001,San Bernardino WRP
9000003903,North City WRP,,06009031002,North City WRP
9000003903,San Elijo Water Campus,CA0107999,06009028001,San Elijo WRF
9000003903,San Leandro WPCP,CA0038881,06002042001,"San Leandro, City of (WPCP)"
9000003903,El Estero Water Resource Center NPDES,CA0048143,06003037001,El Estero Wastewater Treatment Facility
9000003903,Scotts Valley WWTP,CA0048828,06003008001,SCOTTS VALLEY WWTF
9000003903,Simi Valley WQCP,CA0055221,06004003001,Simi Valley WWTP
9000003903,South San Luis Obispo SD WWTP,CA0048003,06003081001,SO SAN LUIS OB CO WWTF
9000003903,Susanville Sanitary District WWTP,CA0102695,06006002001,SUSANVILLE REG WWTF
9000003903,Temescal Valley WD WWRF,CA8000100,06008086001,Temescal Valley WD WWTP
9000003903,Hill Canyon WWTP,,06004007001,Hill Canyon WWTP
9000003903,Raymond A. Boege Alvarado WWTP (Union SD),CA0038733,06002081001,Union Sanitary District (Alvarado WWTF)
7A330122021,Valley SD WWTP,CA0104477,06007029001,VALLEY SD WWTF
