Place ID,order_key,PDF_File,as_of_dates,n_snapshots
209670,146905,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209726,145175,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209726,375565,noa_100610_sjp.pdf,2026-08-13,1
209801,384238,12_0050_WDR_BlueLake_RRO_120618.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209809,86-051,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209847,407226,R7-2016-0013.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209949,137723,,2021-06-01;2022-06-01;2023-06-01,3
209949,317257,R1-2023-0011.pdf,2024-06-01;2025-06-01;2026-06-01;2026-08-13,4
209987,88-100,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209999,389822,2013_0024cvwd_bombay_beach_wdr_mrp.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210068,R2-2007-0078,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210082,131473,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210116,148200,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
210116,447886,09-30-2022_WDR_Boulder Creek Golf and Country Club 0153 NOA MRP final.pdf,2026-08-13,1
210116,447886,Boulder Creek Golf and Country Club 0153 NOA Revised 2024 (2).pdf,2026-08-13,1
210156,132263,r5-2004-0003.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210272,399799,R7-2015-0004.pdf,2021-06-01,1
210272,444249,R7-2015-0004.pdf,2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,5
210272,444249,R7-2021-0005.pdf,2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,6
210322,430031,R5S-2019-0029.pdf,2021-06-01;2022-06-01;2023-06-01,3
210322,430031,r5-2008-0006.pdf,2021-06-01;2022-06-01;2023-06-01,3
210322,430031,r5-2012-0113.pdf,2021-06-01;2022-06-01;2023-06-01,3
210322,430031,r5-2013-0106.pdf,2021-06-01;2022-06-01;2023-06-01,3
210322,430031,r5-2014-0122.pdf,2021-06-01;2022-06-01;2023-06-01,3
210322,456852,R5S-2019-0029.pdf,2024-06-01;2025-06-01;2026-06-01,3
210322,456852,r5-2008-0006.pdf,2024-06-01;2025-06-01;2026-06-01,3
210322,456852,r5-2012-0113.pdf,2024-06-01;2025-06-01;2026-06-01,3
210322,456852,r5-2013-0106.pdf,2024-06-01;2025-06-01;2026-06-01,3
210322,456852,r5-2014-0122.pdf,2024-06-01;2025-06-01;2026-06-01,3
210322,456852,r5-2024-0020_npdes.pdf,2024-06-01;2025-06-01;2026-06-01;2026-08-13,4
210365,148146,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210656,134645,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
210656,415903,2014_0153_dwq.pdf,2026-08-13,1
210659,134646,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
