Source,Process,Support_Manual,Support_Pred,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Missed_Rate,Hallucinated_Rate,State_Accuracy,Level
LLM,Aerobic Digestion,11,10,10,0,1,36,1.0,0.9090909090909091,0.9523809523809523,0.9787234042553191,0.09090909090909091,0.0,0.9090909090909091,Unit_Process
LLM,Mechanical Dewatering,17,22,12,10,5,20,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.6808510638297872,0.29411764705882354,0.45454545454545453,0.7058823529411765,Unit_Process
LLM,Centrifuge,11,6,6,0,5,36,1.0,0.5454545454545454,0.7058823529411765,0.8936170212765957,0.45454545454545453,0.0,0.5454545454545454,Unit_Process
LLM,Drying,17,15,14,1,3,29,0.9333333333333333,0.8235294117647058,0.875,0.9148936170212766,0.17647058823529413,0.06666666666666667,0.8235294117647058,Unit_Process
LLM,Elutriation,0,0,0,0,0,47,,,,1.0,,,,Unit_Process
LLM,Thickening,20,18,15,3,5,24,0.8333333333333334,0.75,0.7894736842105263,0.8297872340425532,0.25,0.16666666666666666,0.75,Unit_Process
LLM,Biosolids Lagoon,6,5,2,3,4,38,0.4,0.3333333333333333,0.36363636363636365,0.851063829787234,0.6666666666666666,0.6,0.3333333333333333,Unit_Process
LLM,Land Application,3,1,1,0,2,44,1.0,0.3333333333333333,0.5,0.9574468085106383,0.6666666666666666,0.0,0.3333333333333333,Unit_Process
LLM,Biosolids Landfill,6,0,0,0,6,41,,0.0,0.0,0.8723404255319149,1.0,,0.0,Unit_Process
LLM,MHI,0,0,0,0,0,47,,,,1.0,,,,Unit_Process
LLM,FBI,0,0,0,0,0,47,,,,1.0,,,,Unit_Process
LLM,Cogeneration,4,1,1,0,3,43,1.0,0.25,0.4,0.9361702127659575,0.75,0.0,0.25,Unit_Process
LLM,Heat Recovery,1,0,0,0,1,46,,0.0,0.0,0.9787234042553191,1.0,,0.0,Unit_Process
LLM,Septic Tank,0,0,0,0,0,47,,,,1.0,,,,Unit_Process
Keyword,Comminution,11,8,8,0,3,36,1.0,0.7272727272727273,0.8421052631578947,0.9361702127659575,0.2727272727272727,0.0,0.7272727272727273,Category
Keyword,Clarification,39,39,37,2,2,6,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9148936170212766,0.05128205128205128,0.05128205128205128,0.8461538461538461,Category
Keyword,Headworks,38,41,37,4,1,5,0.9024390243902439,0.9736842105263158,0.9367088607594937,0.8936170212765957,0.02631578947368421,0.0975609756097561,0.868421052631579,Category
Keyword,Equalization,15,16,11,5,4,27,0.6875,0.7333333333333333,0.7096774193548387,0.8085106382978723,0.26666666666666666,0.3125,0.7333333333333333,Category
Keyword,Flotation,4,7,2,5,2,38,0.2857142857142857,0.5,0.36363636363636365,0.851063829787234,0.5,0.7142857142857143,0.5,Category
Keyword,Activated Sludge,39,43,38,5,1,3,0.8837209302325582,0.9743589743589743,0.926829268292683,0.8723404255319149,0.02564102564102564,0.11627906976744186,0.8717948717948718,Category
Keyword,Lagoon,10,19,8,11,2,26,0.42105263157894735,0.8,0.5517241379310345,0.723404255319149,0.2,0.5789473684210527,0.7,Category
Keyword,Nutrient Removal,18,18,15,3,3,26,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8723404255319149,0.16666666666666666,0.16666666666666666,0.8333333333333334,Category
Keyword,Filtration,35,33,27,6,8,6,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.7021276595744681,0.22857142857142856,0.18181818181818182,0.6857142857142857,Category
Keyword,Wetland,4,6,3,3,1,40,0.5,0.75,0.6,0.9148936170212766,0.25,0.5,0.5,Category
Keyword,UV-AOP,0,0,0,0,0,47,,,,1.0,,,,Category
Keyword,Coagulation,6,6,3,3,3,38,0.5,0.5,0.5,0.8723404255319149,0.5,0.5,0.5,Category
Keyword,Flocculation,6,7,5,2,1,39,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9361702127659575,0.16666666666666666,0.2857142857142857,0.8333333333333334,Category
Keyword,Ion Exchange,0,1,0,1,0,46,0.0,,0.0,0.9787234042553191,,1.0,,Category
Keyword,Activated Carbon,0,0,0,0,0,47,,,,1.0,,,,Category
Keyword,Disinfection,43,44,40,4,3,0,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.851063829787234,0.06976744186046512,0.09090909090909091,0.7674418604651163,Category
Keyword,Chemical Addition,11,9,5,4,6,32,0.5555555555555556,0.45454545454545453,0.5,0.7872340425531915,0.5454545454545454,0.4444444444444444,0.45454545454545453,Category
