source,CWNS FACILITY_ID,CWNS FACILITY_NAME,CIWQS PLACE_ID,CIWQS Facility Name,County,A2O,AO,Activated Carbon,Aerated Lagoon,Aerobic Digestion,Alum Addition,AnO,Anaerobic Digestion,Anaerobic Filter,Anaerobic Lagoon,Biologically Active Filtration,Biosolids Lagoon,Biosolids Wet Air Oxidation,Centrifuge,Chemical N Removal,Chemical P Removal,Chemical Precipitation,Chlorination,Coagulation,Cogeneration,Comminution,Dechlorination,Denitrification,Denitrification Filter,Drying,Electrodialysis,Electrodialysis Reversal,Elutriation,Equalization,Evaporation Pond,Extended Aeration,FBI,Facultative Lagoon,Ferric Chloride Addition,Five Stage Bardenpho,Flocculation,Flotation,Four Stage Bardenpho,Grit Removal,Heat Recovery,Ion Exchange,Lime Stabilization,Lime Treatment,MHI,MLE,Mechanical Dewatering,Media Filtration,Membrane Aerated Biofilm Reactor,Membrane Bioreactor,Microfiltration,Moving Bed Biofilm Reactor,Nanofiltration,Neutralization,Nitrification,Oxidation,Oxidation Ditch,Ozonation,Polishing Lagoon,Polymer Addition,Primary Clarification,Pure Oxygen,Reduction,Reverse Osmosis,Rotating Biological Contactor,SBR,Screening/Microstrainer,Secondary Clarification,Secondary Filtration,Septic Tank,Stabilization Pond,Stepfeed,Thermal Disinfection,Thermal Hydrolysis,Thickening,Trickling Filter,UCT,UV Disinfection,UV-AOP,Ultrafiltration,Unspecified AS,Unspecified Chemical Addition,Unspecified Clarification,Unspecified Dewatering,Unspecified Digestion,Unspecified Disinfection,Unspecified FFR,Unspecified Filtration,Unspecified Headworks,Unspecified Incineration,Unspecified Lagoon,Unspecified Membrane Process,Unspecified Nutrient Removal,Wetland
ciwqs,1175950,San Jacinto Regional WRF,259193,San Jacinto Valley RWRF,Riverside,,,,,,FUTURE,,,,,,,,,,,,FUTURE,FUTURE,,,,FUTURE,,,,,,,,,,,,,FUTURE,,,,,,,,,,FUTURE,FUTURE,,,,,,,FUTURE,,,,,FUTURE,PRESENT,,,,,,,FUTURE,,,,,,,FUTURE,,,,,,PRESENT,FUTURE,,,FUTURE,,,,,,FUTURE,,,
ciwqs,,,259223,Sun City RWRF,Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAST,,,,,,,,,,,,,PAST,,,,,,,,,,,,,,,,,,,,PAST,,,,,,,,,,PAST,,,
ciwqs,,,263145,Temecula Valley RWRF,Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,FUTURE,,,
Clean Watershed Needs Survey,1176028,Temecula Valley Regional WRF,259196,Temescal Creek Outfall,Riverside,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,
ciwqs,1176028,Temecula Valley Regional WRF,259196,Temescal Creek Outfall,Riverside,,,,,,,,,,,,,,,,,,PRESENT,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175936,VALLEY SD WWTF,270096,Valley SD WWTP,Riverside,,,,,,,,PRESENT,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175936,VALLEY SD WWTF,270096,Valley SD WWTP,Riverside,,,,,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,FUTURE,PRESENT,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,,,,PRESENT,FUTURE,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,PRESENT,,,,FUTURE,,,,,,PRESENT,,PRESENT,,,,,,,,PRESENT,,PRESENT,PRESENT
ciwqs,,,259218,Wilderness Lakes WWTP,Riverside,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,,,210156,Boys Ranch WWTF,Sacramento,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175529,Sacramento Regional County Sanitation District (Sacramento Regional Treatment Plant),254981,EchoWater Resource Recovery Facility,Sacramento,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,PRESENT,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,FUTURE,,
ciwqs,1175529,Sacramento Regional County Sanitation District (Sacramento Regional Treatment Plant),254981,EchoWater Resource Recovery Facility,Sacramento,,,PRESENT,,,,,PRESENT,,,FUTURE,,,,,,,PRESENT,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,PRESENT,,,,,,,PRESENT,FUTURE,,,,,,,PRESENT,PRESENT_AND_FUTURE,,,,,PRESENT,,,,,PRESENT_AND_FUTURE,PRESENT,PRESENT,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,PRESENT,PRESENT
Clean Watershed Needs Survey,1175573,GALT WWTF,226690,Galt WWTP & Reclamation Facility,Sacramento,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175573,GALT WWTF,226690,Galt WWTP & Reclamation Facility,Sacramento,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,FUTURE,,PRESENT,,,,PRESENT_AND_FUTURE,,PRESENT,,,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,PRESENT,FUTURE,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,PRESENT,,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,
ciwqs,,,251695,Rancho Murieta CSD WWT & Rec,Sacramento,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,
ciwqs,,,739749,Rancho Seco Recreational Area WWTF,Sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,,,215236,Sac City Combined WW Collection/TRT Sys,Sacramento,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,OFFSITE,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175430,Hollister Domestic WWTP,230555,Hollister Domestic WWTP,San Benito,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,1175430,Hollister Domestic WWTP,230555,Hollister Domestic WWTP,San Benito,,,,,,,,,,,,FUTURE,,,,,,FUTURE,,,,,FUTURE,,,,,,,,,,,,,,,,FUTURE,,,,,,,FUTURE,,,FUTURE,,,,,FUTURE,,,,,,,,,,,,FUTURE,,,,FUTURE,,,,FUTURE,,,,,FUTURE,FUTURE,FUTURE,,,,,FUTURE,FUTURE,,,PRESENT,,FUTURE,
ciwqs,,,251675,Rancho Larios WWTP,San Benito,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,,,252700,Ridgemark Estates WWTP,San Benito,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175415,SAN JUAN BAUTISTA WWTF,255337,San Juan Bautista WWTP,San Benito,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,1175415,SAN JUAN BAUTISTA WWTF,255337,San Juan Bautista WWTP,San Benito,,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,PRESENT,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175446,TRES PINOS WWTF,266350,Tres Pinos WWTP,San Benito,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175446,TRES PINOS WWTF,266350,Tres Pinos WWTP,San Benito,,,,PRESENT,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,,,204475,Adelanto WWTP,San Bernardino,,,,,,,,,,,,,,FUTURE,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,FUTURE,FUTURE,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,FUTURE,,,,,,PRESENT,,,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175858,Barstow WRF,208769,Barstow WWTP,San Bernardino,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175858,Barstow WRF,208769,Barstow WWTP,San Bernardino,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,PRESENT,
ciwqs,,,208930,BB Reg WWA-Lucerne Vly,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175978,COLTON WWTF,259146,Colton WRF,San Bernardino,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,
ciwqs,1175978,COLTON WWTF,259146,Colton WRF,San Bernardino,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,3607961,Regional Tertiary Treatment Rapid Infiltration and Extraction Facility,259178,"Colton/San Bernadino STP, RIX",San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,3607961,Regional Tertiary Treatment Rapid Infiltration and Extraction Facility,259178,"Colton/San Bernadino STP, RIX",San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,
ciwqs,,,230011,Helendale Silverlakes STP,San Bernardino,,,,,PRESENT,,,,,,,,,,,,,PAST,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,,,806008,Hi-Desert WD Reclamation Facility,San Bernardino,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,PRESENT,PRESENT,
Clean Watershed Needs Survey,3486596,IEUA Carbon Canyon WRF,259184,IEUA Carbon Canyon WWRF,San Bernardino,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,3486596,IEUA Carbon Canyon WRF,259184,IEUA Carbon Canyon WWRF,San Bernardino,,,,,OFFSITE,,,OFFSITE,,,,,,OFFSITE,,,,PRESENT,PRESENT,OFFSITE,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,OFFSITE,,PRESENT,OFFSITE,,,,,,OFFSITE,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,OFFSITE,,,,,,PRESENT,PRESENT,,,,,,PRESENT,,,PRESENT,,PRESENT,
Clean Watershed Needs Survey,1175959,IEUA Regional Plant No.1,259165,IEUA Regional Plant No. 1,San Bernardino,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,PRESENT,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,
ciwqs,1175959,IEUA Regional Plant No.1,259165,IEUA Regional Plant No. 1,San Bernardino,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,PRESENT,PRESENT,PRESENT,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,PRESENT,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,PRESENT,,,PRESENT,,PRESENT,
ciwqs,,,259166,IEUA Regional Plant No. 2,San Bernardino,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,
Clean Watershed Needs Survey,3486590,IEUA Regional Plant No.4,742794,IEUA Regional Plant No. 4,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,3486590,IEUA Regional Plant No.4,742794,IEUA Regional Plant No. 4,San Bernardino,,,,,,,,OFFSITE,,,,,,OFFSITE,,,,PRESENT,PRESENT,OFFSITE,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,OFFSITE,,PRESENT,OFFSITE,,,,,,OFFSITE,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,OFFSITE,,,,,,,PRESENT,PRESENT,,,,,PRESENT,,,PRESENT,,PRESENT,
Clean Watershed Needs Survey,3486593,IEUA Regional Plant No.5,259169,IEUA Regional Plant No. 5,San Bernardino,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,3486593,IEUA Regional Plant No.5,259169,IEUA Regional Plant No. 5,San Bernardino,,,FUTURE,,OFFSITE,,,FUTURE,,,FUTURE,,,OFFSITE,,,,PRESENT,PRESENT,,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,OFFSITE,,PRESENT,,,,,,,FUTURE,PRESENT,,FUTURE,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,FUTURE,,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,PRESENT,
ciwqs,,,247644,Park Moabi WWTF,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,,,747480,SCLA Central WWTP-Victorville Water Dist,San Bernardino,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,FUTURE,,PRESENT,
ciwqs,,,835078,Sterling Natural Resource Center WWTF,San Bernardino,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,,PRESENT,,,PRESENT,PRESENT,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,PRESENT,,PRESENT,
ciwqs,,,269589,USMC - Mainside WWTF,San Bernardino,,,,,,,,PRESENT,,PRESENT,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,FUTURE,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,PAST,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,PAST,,,FUTURE,,,PAST
ciwqs,,,851487,Valley Wells Rest Area,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,FUTURE,
ciwqs,,,761913,VVWRA Sub-Regional Plant-Apple Valley,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,FUTURE,,,,,FUTURE,,,,,,,,,,,,FUTURE,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,FUTURE,
ciwqs,,,761903,VVWRA- Sub-Regional Plant-Hesperia,San Bernardino,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,FUTURE,,,,,FUTURE,,,,,,,,,,,,FUTURE,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,FUTURE,
Clean Watershed Needs Survey,1175213,Arcata WWTF,206164,Arcata City WWTF,San Diego,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175213,Arcata WWTF,206164,Arcata City WWTF,San Diego,,,,FUTURE,,,,PRESENT,,,,,,,,,,PRESENT,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,FUTURE,,,,,,,FUTURE,FUTURE,,FUTURE,,,,PRESENT,,,,,,PRESENT,FUTURE,,,,,,,FUTURE,,,PRESENT_AND_FUTURE,,,FUTURE,,,,,,,,,,PRESENT,,FUTURE,PRESENT
Clean Watershed Needs Survey,1175638,Atwater Regional Wastewater Treatment Facility,747519,Atwater Regional WWTF,San Diego,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,PRESENT,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,
ciwqs,1175638,Atwater Regional Wastewater Treatment Facility,747519,Atwater Regional WWTF,San Diego,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,
Clean Watershed Needs Survey,1175514,CAMARILLO Water Reclamation Plant,216719,Camarillo WRP,San Diego,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,PRESENT,PRESENT,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175514,CAMARILLO Water Reclamation Plant,216719,Camarillo WRP,San Diego,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,,,PRESENT,PRESENT,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,
ciwqs,,,213270,Carlsbad WRF,San Diego,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,
Clean Watershed Needs Survey,1238812,Carmel Area Wastewater Treatment Plant,213281,Carmel Area WWTP,San Diego,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1238812,Carmel Area Wastewater Treatment Plant,213281,Carmel Area WWTP,San Diego,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,FUTURE,,,,,,,,,
Clean Watershed Needs Survey,1175428,Carpinteria WWTF,213332,Carpinteria SD WWTP,San Diego,,,,,,,,PRESENT,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175428,Carpinteria WWTF,213332,Carpinteria SD WWTP,San Diego,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,FUTURE,,,,,PRESENT,,,FUTURE,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,FUTURE,,PRESENT,,,,,,,,,,,,,
Clean Watershed Needs Survey,1176067,North City WRP,850597,City of San Diego North City Pure Water Facility,San Diego,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1176067,North City WRP,850597,City of San Diego North City Pure Water Facility,San Diego,,,PRESENT,,,,,,,,PRESENT,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,PRESENT,,,FUTURE,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,PRESENT,FUTURE,,,,,,,,,,,,,,
ciwqs,,,849194,Civita Water Reclamation Facility,San Diego,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175201,CLOVERDALE WWTF,214888,Cloverdale City WWTP,San Diego,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175201,CLOVERDALE WWTF,214888,Cloverdale City WWTP,San Diego,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,
