REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHGTP_NAME_CAT,KEEP_UP_CODE,Notes
2004,1000016001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000016001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000016001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000016001,Filtration,Slow Sand Filter,,Y,Y,No Change,,,,,1,,,,
2004,1000016002,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,Increase Level Of Treatment,,,,,1,,,,
2004,1000016002,Other,Package Plant,,Y,Y,Increase Level Of Treatment,,,,,1,,,,
2004,1000016002,Filtration,Slow Sand Filter,,Y,Y,Increase Level Of Treatment,,,,,1,,,,
2004,1000017001,Mechanical,Activated Sludge - Conventional,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Aerobic Digestion - Air,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000017001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Anaerobic Digestion,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000021001,Mechanical,Trickling Filter - Rock Media,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000023001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000027001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000028001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Other,Manually Controlled,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Filtration,Slow Sand Filter,,Y,Y,No Change,,,,,1,,,,
2004,1000029001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000031001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000031001,Other,Manually Controlled,,Y,Y,No Change,,,,,1,,,,
2004,1000031001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Other,Manually Controlled,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Filtration,Slow Sand Filter,,Y,Y,No Change,,,,,1,,,,
2004,1000032001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000034001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000034001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000034001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000034001,Lagoon,Stabilization Pond,,Y,Y,No Change,,,,,1,,,,
2004,1000035001,Mechanical,Activated Sludge - Conventional,,Y,Y,No Change,,,,,1,,,,
2004,1000035001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000035001,Other,Manually Controlled,,Y,Y,No Change,,,,,1,,,,
2004,1000035001,Other,Slow Rate Application System - No Underdrain,,Y,Y,No Change,,,,,1,,,,
